,1e-15,1e-14,1e-13,1e-12,1e-11,1e-10
422,84.38453,249.80652,693.09106,789.3779,789.3779,789.3779
423,84.47521,250.09529,693.5259,789.3779,789.3779,789.3779
424,84.565895,250.38405,693.96075,789.3779,789.3779,789.3779
425,84.656586,250.6728,694.39557,789.3779,789.3779,789.3779
426,84.74727,250.96156,694.83044,789.3779,789.3779,789.3779
427,84.83796,251.25034,695.26526,789.3779,789.3779,789.3779
428,84.928635,251.5391,695.70013,789.3779,789.3779,789.3779
429,85.019325,251.82785,696.13495,789.3779,789.3779,789.3779
430,85.11001,252.11661,696.5698,789.3779,789.3779,789.3779
431,85.20069,252.40536,697.00464,789.3779,789.3779,789.3779
432,85.29138,252.69414,697.43945,789.3779,789.3779,789.3779
